,Adiac,ArrowHead,BeetleFly,BirdChicken,Colposcopy,Crop,DiatomSizeReduction,DistalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,DistalPhalanxTW,FaceAll,FaceFour,FacesUCR,FiftyWords,Fish,HandOutlines,Herring,MedicalImages,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,MiddlePhalanxTW,MixedShapesRegularTrain,MixedShapesSmallTrain,OSULeaf,PhalangesOutlinesCorrect,ProximalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,ProximalPhalanxTW,ShapesAll,SwedishLeaf,Symbols,WordSynonyms,Yoga
Adiac,inf,13.462587526043702,7.409806879770113,4.616087385692293,72.46376692859144,10.61664111064246,0.40382050864293284,6.170481827798139,6.705199881430703,6.029954711691526,5.504773365038899,9.964719475390249,5.50800728099141,7.946750389354256,0.587481777080897,17.29461351012515,1.8691403014406727,5.86826679635388,7.005499955237493,7.367331081395317,6.694638453486991,2.37212912185341,3.6091889949741915,3.4298750315988173,6.926086162390052,6.7193279269907675,7.393252843790546,6.465103482588302,0.5132152406451215,0.4154257622133334,7.366509559928405,7.053683243296185,2.318882983193146
ArrowHead,13.462587526043702,inf,13.119488699953484,13.569846189472877,76.42083290515735,12.348928990407572,18.309040775816264,4.535952796053497,4.197599034903661,4.2534188305095535,5.116043146365461,13.284176700443007,5.38592235135103,1.9797069622508299,20.31403340571964,7.462170058858728,20.760964243620034,3.2613568110373237,4.7721779164005325,4.847441015571972,4.543215864075189,12.525617080353886,9.879798193789611,11.9299313998384,4.447874948032849,4.366179247620806,4.530152621913221,4.288227657032797,3.4662630551045344,10.732237430530793,9.726604586121201,2.7172837395230265,13.509134088289082
BeetleFly,7.409806879770113,13.119488699953484,inf,5.7390812105594895,71.27107111109368,10.213940147621068,6.917657809993028,8.314003800912399,8.788136546800699,8.234238953193982,4.996358534180794,5.759435367046734,5.251509248529963,6.306589032483185,7.565933452166966,16.17689514641744,7.590908032367306,8.520542754627263,8.971670104543545,9.112865912481636,8.827142271343094,4.742255385315322,5.49853088925636,2.961188102857934,8.882176967493347,8.83406772551228,9.199058983433336,8.824488647083337,3.254186516629394,5.023863314657257,5.198198682692169,7.369689751090224,6.0098361459073475
BirdChicken,4.616087385692293,13.569846189472877,5.7390812105594895,inf,73.37201881752044,11.127895715066193,4.628473948313439,9.9001048444565,11.406565298229308,9.457962732879777,5.7041478101360035,8.332788442428432,5.101601849272793,7.164967546462609,4.093550440677933,22.00134100742489,2.8224964409148545,7.96998317559627,11.683753735032695,11.562570454214823,11.322491391072175,2.7646013811662136,3.6310413111558253,2.9752166836814546,11.500759682969315,11.303899681209572,11.438497050832272,10.878602094190159,1.8823116271091134,3.141329490909922,3.868019557523464,7.199399630443535,2.196756969277385
Colposcopy,72.46376692859144,76.42083290515735,71.27107111109368,73.37201881752044,inf,83.94532468483159,73.56094515874328,75.13974367400573,76.19472859412444,75.7356242289373,45.36860695173786,59.007450454771536,38.1317316794202,50.62802012255552,72.0046510244118,80.16539334495931,72.32191194929679,40.395227149130626,77.31020175096442,77.5553989000654,76.92560950476364,64.88481301720903,71.1662412965672,68.83837461633927,76.31763675253912,75.46463906303462,76.33156426012064,75.29489434096338,64.15414986001022,64.96726661161179,69.71780961691682,51.18783594589687,75.11433154692719
Crop,10.61664111064246,12.348928990407572,10.213940147621068,11.127895715066193,83.94532468483159,inf,14.490448517916438,7.477157633255734,7.493349657336222,7.518537450634631,6.946900914208343,12.117321037520348,7.228003667464424,7.270717625278185,17.636024827402753,28.20639625303855,18.533061388005397,6.268826825540993,7.595371610496605,7.500856830009607,7.564991865990752,17.766868342617084,18.243926235688956,8.41978648473241,7.534329418058606,7.612619644526359,7.572089066376561,7.619748693493064,7.004843267132257,7.737064624035814,10.229928269336511,6.228139960024938,8.478590283897645
DiatomSizeReduction,0.40382050864293284,18.309040775816264,6.917657809993028,4.628473948313439,73.56094515874328,14.490448517916438,inf,9.3759387136703,10.77897801433456,8.99539821279141,6.6164771357076235,9.426913057652268,7.564839936785737,9.8715571188743,0.6688653370789175,22.787539592107155,1.8406859481682598,8.931047525992382,11.159901560310356,11.874913600556265,10.637969797136646,2.3732845390781403,3.6392077980641258,3.5595342171235402,11.147496874299545,10.772395795394731,12.093547042825278,10.277465696706871,0.3383106751889072,0.5861785910766063,8.318038209046609,9.521617890861801,2.415385133343459
DistalPhalanxOutlineAgeGroup,6.170481827798139,4.535952796053497,8.314003800912399,9.9001048444565,75.13974367400573,7.477157633255734,9.3759387136703,inf,0.7611166974558976,0.4287902917103555,4.938318224931006,10.118755309635002,5.52307816985741,2.3413398012169497,11.452483673529473,16.264367398485327,12.75040351689319,2.984526105280292,0.6091138171201655,0.6652721832504568,0.5611845327027531,8.66136775813652,8.45830626617004,5.495528947540156,0.5960670908427192,0.720054919150758,0.6613733588019366,0.7031895059794727,4.024138275869606,5.343338282439517,8.141265406302866,2.9021054557575034,6.15669125745409
DistalPhalanxOutlineCorrect,6.705199881430703,4.197599034903661,8.788136546800699,11.406565298229308,76.19472859412444,7.493349657336222,10.77897801433456,0.7611166974558976,inf,0.73662735597397,5.43765036901196,10.914035816310978,5.779408027324916,2.1083600178432587,13.183402210503166,17.12986000066136,14.525894643583905,3.009750865032192,0.6699712641872825,0.5447253216992958,0.6451148751913749,10.81498237817638,9.811549226949097,6.27615572134193,0.5796227140425372,0.8487056673882856,0.805202832081465,0.8060537515838374,4.224799252135674,5.998938366620913,8.742072311831675,2.6964514728722566,6.984314710220336
DistalPhalanxTW,6.029954711691526,4.2534188305095535,8.234238953193982,9.457962732879777,75.7356242289373,7.518537450634631,8.99539821279141,0.4287902917103555,0.73662735597397,inf,4.838258873832375,9.949038214285206,5.568762430494869,2.3079608907457074,10.967993743868377,15.238416368812308,12.25611622536471,3.0318873244706697,0.39801591517444224,0.7758386548393871,0.37892031972307605,8.228489152103815,8.36454168339059,5.348293626422365,0.7111893244846262,0.6482124426632827,0.6180854756761059,0.6019468165858726,3.7159042047147026,5.215432345981546,7.741003683477568,2.980216381670365,6.0228210991452
FaceAll,5.504773365038899,5.116043146365461,4.996358534180794,5.7041478101360035,45.36860695173786,6.946900914208343,6.6164771357076235,4.938318224931006,5.43765036901196,4.838258873832375,inf,7.574003887708528,4.151849105375573,3.6159215352010885,8.041104453453672,8.027808932428085,8.920044872234975,5.345632077018597,5.708582343676403,5.672408771194512,5.596917940725325,6.207908438112427,6.3098188742184345,4.721095724488587,5.561562661922788,5.455059424662795,5.499083492514593,5.414012263399752,3.779737461981313,4.223302918134053,3.8374224660045253,3.837923347413297,4.955801566435945
FaceFour,9.964719475390249,13.284176700443007,5.759435367046734,8.332788442428432,59.007450454771536,12.117321037520348,9.426913057652268,10.118755309635002,10.914035816310978,9.949038214285206,7.574003887708528,inf,7.022367985414413,8.280552903296094,10.042863895841363,21.115603155795288,9.948257283740995,9.989140568254093,11.407765489458065,11.38682619288502,11.374147972627135,6.724599269391315,7.477205423502651,4.685339225977432,11.344207692890985,11.351293715602436,11.435436772617361,11.359142494901914,4.636646602698288,7.007192830486842,8.26428640462077,8.626164050655603,8.445692131649439
FacesUCR,5.50800728099141,5.38592235135103,5.251509248529963,5.101601849272793,38.1317316794202,7.228003667464424,7.564839936785737,5.52307816985741,5.779408027324916,5.568762430494869,4.151849105375573,7.022367985414413,inf,3.9564889774740717,8.857753383747303,11.798809130282129,8.927604480402463,5.637334097379065,5.788208324501551,5.762456516381389,5.760769150737432,7.039070452982928,6.835839097501251,5.1496809905023495,5.746773312173949,5.703853045389508,5.734355896200595,5.668596577383338,5.0447995315462455,4.595781909904368,4.910305414731843,3.954239408703505,5.927064872921627
FiftyWords,7.946750389354256,1.9797069622508299,6.306589032483185,7.164967546462609,50.62802012255552,7.270717625278185,9.8715571188743,2.3413398012169497,2.1083600178432587,2.3079608907457074,3.6159215352010885,8.280552903296094,3.9564889774740717,inf,11.130265985703408,8.694178254201933,11.618045477511219,2.3178816401122955,2.5115811296961237,2.2624932366888,2.356310261696469,7.510723158452102,6.9024232277500435,6.485223836042356,2.1596208690271106,2.1820113238974073,1.9962172317057172,1.899478495556308,2.5867476782452217,5.896498199441933,4.77174004609245,1.2154853297833086,7.492919939933623
Fish,0.587481777080897,20.31403340571964,7.565933452166966,4.093550440677933,72.0046510244118,17.636024827402753,0.6688653370789175,11.452483673529473,13.183402210503166,10.967993743868377,8.041104453453672,10.042863895841363,8.857753383747303,11.130265985703408,inf,26.520225654326996,1.0847294458839003,9.702367273409095,13.734237724546794,14.592983983113132,13.054843152650257,2.4057232511725566,3.791726967095938,3.5624973632094914,13.66740166176602,13.1652282310989,14.776814123259866,12.51082097075902,0.48120660695294976,0.7754537112553233,10.330638321836192,11.630329867962612,2.631743000622015
HandOutlines,17.29461351012515,7.462170058858728,16.17689514641744,22.00134100742489,80.16539334495931,28.20639625303855,22.787539592107155,16.264367398485327,17.12986000066136,15.238416368812308,8.027808932428085,21.115603155795288,11.798809130282129,8.694178254201933,26.520225654326996,inf,24.01212020050075,8.870280925318637,19.003118317896316,20.07479251680515,17.86659923299284,24.940630990514922,18.75676101941779,15.311862008294037,18.100637487068184,16.92848191247957,18.529252040234883,15.710676181508878,11.563328521220976,14.380672139215497,6.470415305252733,5.031207945645188,24.15974320459877
Herring,1.8691403014406727,20.760964243620034,7.590908032367306,2.8224964409148545,72.32191194929679,18.533061388005397,1.8406859481682598,12.75040351689319,14.525894643583905,12.25611622536471,8.920044872234975,9.948257283740995,8.927604480402463,11.618045477511219,1.0847294458839003,24.01212020050075,inf,9.975182430114913,15.001387382894094,15.859527920806459,14.352235514061059,2.313136660476328,3.7007111119774585,3.2908230158007252,14.967699445887602,14.492340013120907,16.07741074884879,13.882386731849287,1.3509089482641037,1.9259929948842536,11.014934047849172,11.560947796490806,2.905522794809743
MedicalImages,5.86826679635388,3.2613568110373237,8.520542754627263,7.96998317559627,40.395227149130626,6.268826825540993,8.931047525992382,2.984526105280292,3.009750865032192,3.0318873244706697,5.345632077018597,9.989140568254093,5.637334097379065,2.3178816401122955,9.702367273409095,8.870280925318637,9.975182430114913,inf,3.0124366000172684,2.9129991208737374,2.8876701960568436,9.170458939939124,8.612032978072012,6.161009744081316,2.9712438705786908,3.0752946316213006,2.9878051552202884,2.9508226794041614,5.968319326103982,6.053859859953209,8.433524611690217,3.4915783670704834,6.3535561661063875
MiddlePhalanxOutlineAgeGroup,7.005499955237493,4.7721779164005325,8.971670104543545,11.683753735032695,77.31020175096442,7.595371610496605,11.159901560310356,0.6091138171201655,0.6699712641872825,0.39801591517444224,5.708582343676403,11.407765489458065,5.788208324501551,2.5115811296961237,13.734237724546794,19.003118317896316,15.001387382894094,3.0124366000172684,inf,0.5078073836095024,0.23851307677339253,11.189360386630241,9.784293373736833,6.647518333738087,0.4839081939816619,0.6851685440657037,0.6019535452347156,0.6397818112740404,5.141590487201379,6.562232171868517,9.132394442756725,2.963219803395619,7.354292530306221
MiddlePhalanxOutlineCorrect,7.367331081395317,4.847441015571972,9.112865912481636,11.562570454214823,77.5553989000654,7.500856830009607,11.874913600556265,0.6652721832504568,0.5447253216992958,0.7758386548393871,5.672408771194512,11.38682619288502,5.762456516381389,2.2624932366888,14.592983983113132,20.07479251680515,15.859527920806459,2.9129991208737374,0.5078073836095024,inf,0.5063839569471708,11.384345264384674,9.919472104868035,7.016199852215619,0.44715115599533334,0.7560195800832862,0.5457883179000371,0.6173389667607482,5.406189297471389,6.921486531751797,9.383221218111668,2.94662932285251,7.873890108835066
MiddlePhalanxTW,6.694638453486991,4.543215864075189,8.827142271343094,11.322491391072175,76.92560950476364,7.564991865990752,10.637969797136646,0.5611845327027531,0.6451148751913749,0.37892031972307605,5.596917940725325,11.374147972627135,5.760769150737432,2.356310261696469,13.054843152650257,17.86659923299284,14.352235514061059,2.8876701960568436,0.23851307677339253,0.5063839569471708,inf,10.681751316390077,9.696602310653288,6.25266565257222,0.49661290683502285,0.6734333173366941,0.6199397811278377,0.5864485353003269,4.538545464584773,6.237416026172294,8.908540119345812,2.798034870269663,6.9549795519223805
MixedShapesRegularTrain,2.37212912185341,12.525617080353886,4.742255385315322,2.7646013811662136,64.88481301720903,17.766868342617084,2.3732845390781403,8.66136775813652,10.81498237817638,8.228489152103815,6.207908438112427,6.724599269391315,7.039070452982928,7.510723158452102,2.4057232511725566,24.940630990514922,2.313136660476328,9.170458939939124,11.189360386630241,11.384345264384674,10.681751316390077,inf,1.7426911484404695,3.250416754547666,11.11566909850494,10.891457387285424,11.401653264109084,10.060187410619863,2.3880052426787914,2.482719105312011,4.626160960167818,9.019920826782837,3.24850991060175
MixedShapesSmallTrain,3.6091889949741915,9.879798193789611,5.49853088925636,3.6310413111558253,71.1662412965672,18.243926235688956,3.6392077980641258,8.45830626617004,9.811549226949097,8.36454168339059,6.3098188742184345,7.477205423502651,6.835839097501251,6.9024232277500435,3.791726967095938,18.75676101941779,3.7007111119774585,8.612032978072012,9.784293373736833,9.919472104868035,9.696602310653288,1.7426911484404695,inf,3.941501394189673,9.75146162206858,9.73314966469428,9.949479923509415,9.569942654462372,2.7336796646004204,3.532171248271568,4.371812804194561,7.660482623360915,3.819865245211745
OSULeaf,3.4298750315988173,11.9299313998384,2.961188102857934,2.9752166836814546,68.83837461633927,8.41978648473241,3.5595342171235402,5.495528947540156,6.27615572134193,5.348293626422365,4.721095724488587,4.685339225977432,5.1496809905023495,6.485223836042356,3.5624973632094914,15.311862008294037,3.2908230158007252,6.161009744081316,6.647518333738087,7.016199852215619,6.25266565257222,3.250416754547666,3.941501394189673,inf,6.53088125940889,6.388076423622625,7.126465642385594,6.275869473177185,2.685583420512476,2.882679859626374,3.66167024792661,6.94000870310026,2.441831891148717
PhalangesOutlinesCorrect,6.926086162390052,4.447874948032849,8.882176967493347,11.500759682969315,76.31763675253912,7.534329418058606,11.147496874299545,0.5960670908427192,0.5796227140425372,0.7111893244846262,5.561562661922788,11.344207692890985,5.746773312173949,2.1596208690271106,13.66740166176602,18.100637487068184,14.967699445887602,2.9712438705786908,0.4839081939816619,0.44715115599533334,0.49661290683502285,11.11566909850494,9.75146162206858,6.53088125940889,inf,0.6731848733564799,0.5216209995833043,0.6155865934206765,4.637399648160138,6.343570476159255,8.95647220821977,2.7823174672919366,7.357952511111436
ProximalPhalanxOutlineAgeGroup,6.7193279269907675,4.366179247620806,8.83406772551228,11.303899681209572,75.46463906303462,7.612619644526359,10.772395795394731,0.720054919150758,0.8487056673882856,0.6482124426632827,5.455059424662795,11.351293715602436,5.703853045389508,2.1820113238974073,13.1652282310989,16.92848191247957,14.492340013120907,3.0752946316213006,0.6851685440657037,0.7560195800832862,0.6734333173366941,10.891457387285424,9.73314966469428,6.388076423622625,0.6731848733564799,inf,0.3080223386162482,0.18602420016108068,4.233502164286105,6.383523832464091,9.032681201749496,2.771945695138647,6.983262580969027
ProximalPhalanxOutlineCorrect,7.393252843790546,4.530152621913221,9.199058983433336,11.438497050832272,76.33156426012064,7.572089066376561,12.093547042825278,0.6613733588019366,0.805202832081465,0.6180854756761059,5.499083492514593,11.435436772617361,5.734355896200595,1.9962172317057172,14.776814123259866,18.529252040234883,16.07741074884879,2.9878051552202884,0.6019535452347156,0.5457883179000371,0.6199397811278377,11.401653264109084,9.949479923509415,7.126465642385594,0.5216209995833043,0.3080223386162482,inf,0.4100693067123041,4.996564379651077,6.99621544104587,9.36148894171563,2.8391726231231598,7.999636444874724
ProximalPhalanxTW,6.465103482588302,4.288227657032797,8.824488647083337,10.878602094190159,75.29489434096338,7.619748693493064,10.277465696706871,0.7031895059794727,0.8060537515838374,0.6019468165858726,5.414012263399752,11.359142494901914,5.668596577383338,1.899478495556308,12.51082097075902,15.710676181508878,13.882386731849287,2.9508226794041614,0.6397818112740404,0.6173389667607482,0.5864485353003269,10.060187410619863,9.569942654462372,6.275869473177185,0.6155865934206765,0.18602420016108068,0.4100693067123041,inf,3.7858894580188815,6.117535730867299,8.802144005017697,2.751349810758564,6.622540839300245
ShapesAll,0.5132152406451215,3.4662630551045344,3.254186516629394,1.8823116271091134,64.15414986001022,7.004843267132257,0.3383106751889072,4.024138275869606,4.224799252135674,3.7159042047147026,3.779737461981313,4.636646602698288,5.0447995315462455,2.5867476782452217,0.48120660695294976,11.563328521220976,1.3509089482641037,5.968319326103982,5.141590487201379,5.406189297471389,4.538545464584773,2.3880052426787914,2.7336796646004204,2.685583420512476,4.637399648160138,4.233502164286105,4.996564379651077,3.7858894580188815,inf,0.7530064451834976,2.7126456520157505,3.3237555615357994,2.0473332516188676
SwedishLeaf,0.4154257622133334,10.732237430530793,5.023863314657257,3.141329490909922,64.96726661161179,7.737064624035814,0.5861785910766063,5.343338282439517,5.998938366620913,5.215432345981546,4.223302918134053,7.007192830486842,4.595781909904368,5.896498199441933,0.7754537112553233,14.380672139215497,1.9259929948842536,6.053859859953209,6.562232171868517,6.921486531751797,6.237416026172294,2.482719105312011,3.532171248271568,2.882679859626374,6.343570476159255,6.383523832464091,6.99621544104587,6.117535730867299,0.7530064451834976,inf,3.695914256333374,6.255869970322918,2.2707842998625516
Symbols,7.366509559928405,9.726604586121201,5.198198682692169,3.868019557523464,69.71780961691682,10.229928269336511,8.318038209046609,8.141265406302866,8.742072311831675,7.741003683477568,3.8374224660045253,8.26428640462077,4.910305414731843,4.77174004609245,10.330638321836192,6.470415305252733,11.014934047849172,8.433524611690217,9.132394442756725,9.383221218111668,8.908540119345812,4.626160960167818,4.371812804194561,3.66167024792661,8.95647220821977,9.032681201749496,9.36148894171563,8.802144005017697,2.7126456520157505,3.695914256333374,inf,5.032954717317192,5.773026162067496
WordSynonyms,7.053683243296185,2.7172837395230265,7.369689751090224,7.199399630443535,51.18783594589687,6.228139960024938,9.521617890861801,2.9021054557575034,2.6964514728722566,2.980216381670365,3.837923347413297,8.626164050655603,3.954239408703505,1.2154853297833086,11.630329867962612,5.031207945645188,11.560947796490806,3.4915783670704834,2.963219803395619,2.94662932285251,2.798034870269663,9.019920826782837,7.660482623360915,6.94000870310026,2.7823174672919366,2.771945695138647,2.8391726231231598,2.751349810758564,3.3237555615357994,6.255869970322918,5.032954717317192,inf,6.819570954555896
Yoga,2.318882983193146,13.509134088289082,6.0098361459073475,2.196756969277385,75.11433154692719,8.478590283897645,2.415385133343459,6.15669125745409,6.984314710220336,6.0228210991452,4.955801566435945,8.445692131649439,5.927064872921627,7.492919939933623,2.631743000622015,24.15974320459877,2.905522794809743,6.3535561661063875,7.354292530306221,7.873890108835066,6.9549795519223805,3.24850991060175,3.819865245211745,2.441831891148717,7.357952511111436,6.983262580969027,7.999636444874724,6.622540839300245,2.0473332516188676,2.2707842998625516,5.773026162067496,6.819570954555896,inf
